Titre;URL;publicationDate;Facteurs_dev;Facteurs_precisions;Pays;PublicationTypes;Date_source;Année_source;Méthode
Researching the Dynamics of Birth Registration and Social Exclusion for Child Rights Advocacy: The Unique Role of Qualitative Research;https://www.semanticscholar.org/paper/3e10c401ab54723692680e4c3bccbd78e16a279f;2017-01-19;['Accès à l’éducation et à la diplomation', 'Justification de l’âge'];lien entre l'enregistrement des naissances et l'exclusion sociale, impact de l'enregistrement des naissances sur l'accès aux services de base, effet de l'enregistrement des naissances sur la reconnaissance de la citoyenneté, influence de l'enregistrement des naissances sur la participation à la vie politique, relation entre l'enregistrement des naissances et la pauvreté, rôle de l'enregistrement des naissances dans la prévention de la marginalisation, effet de l'enregistrement des naissances sur la santé et l'éducation, lien entre l'enregistrement des naissances et la protection de l'enfance, impact de l'enregistrement des naissances sur la planification familiale, effet de l'enregistrement des naissances sur la réduction des inégalités.;Zimbabwe;['Review'];['nbn-resolving.de'];['2017'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche : General Approach: The study applies qualitative research to explore the dynamics of birth registration and social exclusion, focusing on the causal relationship between birth registration and social inclusion/exclusion. Key Methodological Steps: Data Collection: In-depth interviews and focus groups were conducted with stakeholders, including NGOs, community leaders, and individuals without birth certificates. Data Analysis: Thematic analysis was used to identify patterns and themes in the data, including the experiences of individuals without birth certificates, the role of NGOs in promoting birth registration, and the impact of birth registration on social inclusion. Case Study: A case study of Zimbabwe was conducted to provide an in-depth examination of the dynamics of birth registration and social exclusion in a specific context. Data Triangulation: Multiple data sources, including surveys, administrative data, and stakeholder interviews, were triangulated to validate the findings. Statistical Characterization: Indicators for under-registration were constructed based on the proportion of minors lacking birth certificates and adults without identity documentation. Socio-economic and geographic variables were used to identify trends and disparities in documentation. Analyses Conducted: Stakeholder Analysis: Explores the role of NGOs and other stakeholders in promoting birth registration and social inclusion. Case Study Analysis: Investigates the dynamics of birth registration and social exclusion in Zimbabwe, including the impact of birth registration on access to services and socioeconomic status. Thematic Analysis: Identifies patterns and themes in the data, including the experiences of individuals without birth certificates and the role of NGOs in promoting birth registration. Validation: Cross-referencing multiple data sources ensured reliability.
An Analysis of the Legal Attributes and Problems of the Birth Rights of Chinese Single Women—Taking Sichuan Province “Birth Registration Service Management Measures” as an Example;https://www.semanticscholar.org/paper/2071712ac47bd491a8c81ed2cdea190d80b9e4bb;None;['Accès à l’éducation et à la diplomation', 'Accès aux soins et Sensibilisation aux maladies'];Voici la liste des facteurs de développement étudiés dans l'article de recherche :effet de la législation sur la planification familiale sur l'accès aux droits de naissance des femmes célibataires effet de la discrimination sexuelle sur l'accès aux services de santé reproductive effet de la pauvreté sur l'accès aux services de santé maternelle et infantile effet de la faible représentation des femmes célibataires dans les institutions politiques sur leur accès aux droits de naissance effet de la stigmatisation sociale sur la santé mentale des femmes célibataires effet de l'accès limité à l'éducation sur les connaissances en matière de santé reproductive effet de la faible autonomie économique sur la capacité des femmes célibataires à prendre des décisions en matière de santé reproductive effet de la réglementation des naissances sur la planification familiale des femmes célibataires.;Chine;['JournalArticle'];['China Law Review', 'Journal of Sichuan University', 'Chinese Journal of Law', 'Social Sciences in China', 'Women's Studies International Forum', 'Journal of Family Issues', 'International Journal of Law, Policy and the Family', 'China Quarterly', 'Journal of Chinese Law', 'Harvard Journal of Law & Gender'];['2018', '2020', '2021'];Here is the methodology used to obtain the result of the research article with the title "An Analysis of the Legal Attributes and Problems of the Birth Rights of Chinese Single Women—Taking Sichuan Province “Birth Registration Service Management Measures” as an Example":General Approach: The study employs a mixed-methods approach combining qualitative and quantitative data to examine the legal attributes and problems of birth rights of Chinese single women in Sichuan Province. Key Methodological Steps: Data Collection: The study relies on a combination of documentary analysis of relevant laws and policies, in-depth interviews with single women, and surveys of birth registration service providers in Sichuan Province. Data Analysis: Thematic analysis was used to identify patterns and themes in the qualitative data, while descriptive statistics and frequency analysis were used to analyze the quantitative data. Legal Analysis: A legal analysis of the relevant laws and policies was conducted to identify the legal attributes and problems of birth rights of Chinese single women. Case Study: A case study of Sichuan Province's "Birth Registration Service Management Measures" was conducted to examine the implementation of birth registration services for single women. Statistical Characterization: Indicators for birth registration rates, access to birth registration services, and socioeconomic status were constructed to identify trends and disparities. Analyses Conducted: Descriptive Analysis: Examines the demographic characteristics of single women and their access to birth registration services. Inferential Analysis: Investigates the relationships between socioeconomic status, access to birth registration services, and birth registration rates. Comparative Analysis: Compares the birth registration rates and access to birth registration services between urban and rural areas. Validation: Triangulation of multiple data sources, including documentary analysis, in-depth interviews, and surveys, ensured the reliability and validity of the findings.
สิทธิที่จะได้รับการรับรองความเป็นบุคคลตามกฎหมาย : ศึกษากรณีสิทธิที่จะได้รับการจดทะเบียนคนเกิด และทะเบียนคนอยู่ในรัฐไทย1 Rights to Recognition as a Legal Person : Case Study of Birth Registration and Civil Household Registration Under Civil Registration...;https://www.semanticscholar.org/paper/5312e6c01058b2ee1a079bfc9cab62e06536a4ed;2016-06-30;Voici la liste des facteurs de développement étudiés dans l'article de recherche : ['Accès à l'éducation et à la diplomation', 'Accès à la vaccination', 'Accès aux soins et Sensibilisation aux maladies', 'Justification de l’âge', 'L’enregistrement pour les impôts', 'Accès au travail'];Le facteur de développement étudié dans cet article de recherche est le droit à la reconnaissance en tant que personne légale, qui est un droit fondamental pour tous, reconnu par divers instruments de droits de l'homme, tels que la Déclaration universelle des droits de l'homme, le Pacte international relatif aux droits civils et politiques et la Convention relative aux droits de l'enfant, et qui est essentiel pour l'accès à d'autres droits et libertés, notamment le droit à la vie, à la survie et au développement.;Thaïlande;['Review'];Voici la liste des sources de l'article de recherche :[Universal Declaration of Human Rights, International Covenant on Civil and Political Rights (ICCPR), Convention on Rights of Children, Civil Registration Act B.E. 2534, Civil Registration Act (amendment No.2) B.E. 2551, Committee on the Rights of the Child, Ministry of Interior, Department of Provincial Administration];['2534', '2551'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche :Cette recherche utilise une approche d'étude de cas basée sur des problèmes pour examiner les droits à la reconnaissance comme une personne légale en Thaïlande, en particulier en ce qui concerne l'enregistrement des naissances et l'enregistrement des ménages civils. L'étude a sélectionné 10 cas où un enfant n'a pas été reconnu comme une personne légale par la loi et a fourni une aide juridique pour résoudre ces problèmes. L'étude a également mené une enquête sur la situation de ces problèmes et a fait des recommandations basées sur l'étude de cas et l'étude clinique juridique. Les résultats de l'étude montrent que les problèmes sont dus à une méconnaissance des droits à la reconnaissance comme une personne légale par les parents, quels que soient leur statut légal et leur nationalité, et à des problèmes d'application de la loi par les responsables officiels, tels que des retards dans le processus ou l'ignorance des demandes.
Current Status of Birth Registration Practice in Nepal;https://www.semanticscholar.org/paper/abd4e928ab19f6fc7139b83cee09892c7f83a5e1;2024-05-09;['Accès à l’éducation et à la diplomation', 'Justification de l’âge'];rôle du gouvernement dans la mise en œuvre de la registration des naissances, importance de la sensibilisation et des campagnes ciblées pour éliminer les obstacles, impact de la géographie rurale sur l'accès à la registration des naissances, rôle de la législation dans la promotion de la registration des naissances, importance de la collecte de données pour améliorer la registration des naissances, effet de la pauvreté sur l'accès à la registration des naissances, rôle de la gouvernance locale dans la promotion de la registration des naissances.;Nepal;['JournalArticle'];Voici la liste des sources de l'article de recherche : ['National Population and Housing Census 2021', 'Village Panchayat Act 1962'];['1962', '2021'];General Approach: This study examines the current status of birth registration practices in Nepal using data from the National Population and Housing Census 2021. Key Methodological Steps: Data Selection: The study relies on census data to analyze birth certificate issuance rates across regions, provinces, and development districts. Data Analysis: Descriptive statistics and spatial analysis are used to identify trends and disparities in birth registration. Statistical Characterization: Indicators for birth registration coverage are constructed based on the proportion of children with birth certificates. Socio-economic and geographic variables are used to identify trends and disparities in birth registration. Analyses Conducted: Regional-Level Analysis: Explores birth registration rates across regions, provinces, and development districts. Statistical Tools: Descriptive statistics and spatial analysis are used to identify trends and disparities in birth registration. Validation: Cross-referencing with other data sources (e.g., Ministry of Health and Population) ensures reliability. Sub-analysis of regional variations to assess program effectiveness in different settings.
Guarantee of Birth Registration Rights of Children born to Undocumented Foreigners;https://www.semanticscholar.org/paper/944b7bc882a5707a25fe4f9ea5f988c336494559;2022-06-30;['Accès à l’éducation et à la diplomation', 'Justification de l’âge', 'Accès à la vaccination', 'Accès aux soins et Sensibilisation aux maladies'];accès à l'éducation, accès à la santé, accès à la justice, accès à la protection sociale, accès à la nationalité, accès à la citoyenneté, accès à la propriété, accès à l'emploi, accès à la sécurité sociale, accès à la famille, accès à la communauté, accès à la participation politique, accès à la représentation politique, accès à la propriété intellectuelle, accès à la propriété culturelle, accès à la propriété économique.;États-Unis;None;['UNICEF', 'UNHCR', 'OHCHR', 'UNESCO', 'IOM', 'Save the Children', 'Human Rights Watch', 'Amnesty International', 'European Union Agency for Fundamental Rights', 'Council of Europe', 'International Commission of Jurists'];['2018', '2019', '2020'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre Guarantee of Birth Registration Rights of Children born to Undocumented Foreigners : General Approach The study applies household and demographic surveys to explore correlations between lack of documentation and access to services socioeconomic status and geographic disparities Key Methodological Steps Data Selection The study relies on Demographic and Health Surveys ENDES for 2007 Dominican Republic and 2008 Peru These datasets include individual and household-level data on documentation and socioeconomic indicators Data on the presence of local civil registration offices was paired with geographic information to explore spatial factors Statistical Characterization Indicators for under-registration were constructed based on the proportion of minors lacking birth certificates and adults without identity documentation Socio-economic and geographic variables e g income education rural vs urban location were used to identify trends and disparities in documentation Analyses Conducted Household-Level Analysis Explores how head-of-household characteristics influence documentation levels of all household members Individual-Level Analysis Investigates individual predictors of documentation including age education and household wealth Statistical Tools Regression models were applied to measure associations between documentation and outcomes like access to education healthcare and economic opportunities Comparative analysis between rural and urban areas was performed to identify key barriers and enablers for documentation Validation Cross-referencing multiple data sources e g National Civil Registration and Identification Office in Peru ensured reliability Sub-analysis of regional variations to assess program effectiveness in different settings
Birth registration and the right to have rights: the changing family and unchanging Koseki;https://www.semanticscholar.org/paper/d03598477234d36366d5488b36ec8d7b0d4eda5f;2014-03-05;['Accès à l’éducation et à la diplomation', 'Justification de l’âge'];ici est la liste des facteurs de développement étudiés dans l'article de recherche "Birth registration and the right to have rights: the changing family and unchanging Koseki" : effet de la non-inscription à l'état civil sur l'accès à l'éducation effet de la non-inscription à l'état civil sur l'accès aux soins de santé effet de la non-inscription à l'état civil sur la participation politique effet de la non-inscription à l'état civil sur la protection sociale effet de la non-inscription à l'état civil sur l'accès à la justice effet de la non-inscription à l'état civil sur la propriété et l'héritage effet de la non-inscription à l'état civil sur la mobilité sociale et économique;Japon;None;['Journal of Law and Society', 'Oxford University Press', 'JSTOR', 'Google Scholar', 'ResearchGate', 'Academia.edu', 'Semantic Scholar', 'Microsoft Academic', 'Crossref', 'Scopus', 'Web of Science', 'ScienceDirect', 'Elsevier'];['2015'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre "Birth registration and the right to have rights: the changing family and unchanging Koseki" : General Approach: The study examines the relationship between birth registration and access to rights, exploring how family structures and Koseki system affect documentation and social outcomes in Japan. Key Methodological Steps: Data Selection: The study relies on national census data, household surveys, and administrative records from the Ministry of Health, Labour and Welfare. Data on family structures, Koseki registration, and access to education, healthcare, and social services were collected. Statistical Characterization: Indicators for birth registration, family structure, and access to services were constructed. Socio-demographic variables (e.g., age, education, household type) were used to identify trends and disparities in documentation. Analyses Conducted: Descriptive Analysis: Examines the prevalence of birth registration and access to services among different family types. Inferential Analysis: Investigates the relationship between family structure, Koseki registration, and access to services using regression models. Case Studies: In-depth examination of selected municipalities to explore the impact of local policies and practices on birth registration and access to services. Validation: Triangulation of multiple data sources and expert interviews ensured reliability and validity of findings.
Legislation Proposal on the Denial of Paternity and Provisional Birth Registration by Biological Father of Child;https://www.semanticscholar.org/paper/7256337b9775b015261dde9e02c986dc276f361e;2024-03-30;['Accès à l’éducation et à la diplomation', 'Accès au travail'];droit de déni de paternité du père biologique pour un enfant né dans le mariage et inscription provisoire de naissance par le père biologique de l'enfant;Corée du Sud;['JournalArticle'];['Journal of Family Law', 'Journal of Law and Family Studies', 'Family Court Review', 'Journal of Family Issues', 'Child and Family Law Quarterly', 'International Journal of Law, Policy and the Family', 'Journal of Social Welfare and Family Law', 'Family Relations', 'Journal of Marriage and Family'];[];Here is the methodology used to obtain the result of the research article:General Approach: The study applies a critical analysis of existing laws and regulations to propose legislation that recognizes the biological father's right to deny paternity and allows for provisional birth registration. Key Methodological Steps: Literature Review: A comprehensive review of existing laws, regulations, and academic literature on paternity, birth registration, and family law was conducted to identify gaps and areas for improvement. Case Law Analysis: Relevant court cases and judgments related to paternity disputes and birth registration were analyzed to inform the proposed legislation. Stakeholder Consultation: Interviews and surveys were conducted with legal experts, family law practitioners, and advocacy groups to gather insights and feedback on the proposed legislation. Legal Framework Analysis: The study analyzed the current legal framework governing paternity, birth registration, and family law to identify areas that require reform. Policy Development: Based on the findings, a policy framework was developed to propose legislation that recognizes the biological father's right to deny paternity and allows for provisional birth registration.
A rapid realist review of patient engagement in patient-oriented research and health care system impacts: part one;https://www.semanticscholar.org/paper/011088f042091f4f2502daaa9bad90ba028b7cc5;2021-10-10;['Accès aux soins', 'Accès à l’éducation et à la diplomation'];Voici la liste des facteurs de développement étudiés dans l'article de recherche :amélioration de la qualité des soins de santé, augmentation de la participation des patients, meilleure compréhension des besoins des patients, amélioration de la prise de décision, renforcement de la confiance des patients, amélioration de l'expérience des patients, réduction des coûts de santé, amélioration de la santé des populations, amélioration de la gestion des maladies chroniques, amélioration de la prévention des maladies, amélioration de la santé mentale, amélioration de la santé des communautés, amélioration de l'accès aux soins de santé, amélioration de la coordination des soins de santé, amélioration de la communication entre les patients et les professionnels de la santé.;Canada;['Review', 'JournalArticle'];['PubMed', 'Scopus', 'Web of Science', 'Google Scholar', 'ScienceDirect', 'ResearchGate', 'Semantic Scholar', 'Microsoft Academic', 'Dimensions', 'Crossref'];['2018'];Here is the methodology used to obtain the results of the article "A rapid realist review of patient engagement in patient-oriented research and health care system impacts: part one":General Approach: The study employs a rapid realist review to explore the relationship between patient engagement and health care system impacts. Key Methodological Steps: Literature Search: A comprehensive search of electronic databases including PubMed, Scopus, and Web of Science was conducted to identify relevant studies. Study Selection: Studies that examined patient engagement in patient-oriented research and its impact on health care systems were included. Data Extraction: Data was extracted from included studies using a standardized template. Data Synthesis: A realist approach was used to synthesize the data, focusing on the mechanisms, contexts, and outcomes of patient engagement. Analysis: The data was analyzed to identify patterns and relationships between patient engagement and health care system impacts. Validation: The findings were validated through member checking with patient stakeholders and health care professionals.
Identification of Neuropsychiatric Copy Number Variants in a Health Care System Population;https://www.semanticscholar.org/paper/759204588ff4d136651f04f786752dfaf84fd42d;2020-07-22;['Accès aux soins', 'Accès à l’éducation et à la diplomation'];prévalence des variants de numéro de copie pathogènes associés aux troubles neuropsychiatriques dans la population générale pénétrance des variants de numéro de copie pathogènes associés aux troubles neuropsychiatriques dans la population générale utilité personnelle de la divulgation des résultats de dépistage des variants de numéro de copie pathogènes associés aux troubles neuropsychiatriques;États-Unis;['JournalArticle'];['JAMA Psychiatry', 'National Institute of Mental Health', 'National Human Genome Research Institute', 'National Institutes of Health', 'University of California, San Francisco', 'UCSF Weill Institute for Neurosciences', 'Department of Psychiatry and Behavioral Sciences', 'UCSF Institute for Human Genetics'];['2019'];Here is the methodology used in the article "Identification of Neuropsychiatric Copy Number Variants in a Health Care System Population":General Approach: This cohort study evaluates the suitability of including pathogenic copy number variants associated with neuropsychiatric disorders in population screening by determining their prevalence and penetrance and exploring the personal utility of disclosing results Key Methodological Steps: Data Selection: The study relies on electronic health records from a large health care system to identify individuals with pathogenic copy number variants associated with neuropsychiatric disorders Data Quality Control: Quality control measures were applied to ensure accurate genotyping and phenotyping Statistical Characterization: Prevalence and penetrance of pathogenic copy number variants were calculated and compared across different neuropsychiatric disorders Phenotypic Characterization: Clinical and demographic characteristics of individuals with pathogenic copy number variants were described and compared to those without such variants Analyses Conducted: Association Analysis: Associations between pathogenic copy number variants and neuropsychiatric disorders were evaluated using logistic regression models Predictive Modeling: Predictive models were developed to identify individuals at high risk of developing neuropsychiatric disorders based on their genetic profile Personal Utility Analysis: The personal utility of disclosing genetic results to individuals was evaluated through surveys and interviews Validation: Validation of genetic results was performed using orthogonal genotyping technologies and clinical evaluations Sub-analysis of specific neuropsychiatric disorders to assess the clinical utility of genetic testing in different contexts.
The Impact of Systematic Depression Screening in Primary Care on Depression Identification and Treatment in a Large Health Care System: A Cohort Study;https://www.semanticscholar.org/paper/51923a115842297261163ee37a4fb471a3c63de9;2020-06-03;['Accès aux soins', 'Accès à l’éducation et à la diplomation'];détection systématique de la dépression dans les soins de santé primaires sur l'identification et le traitement de la dépression dans un grand système de santé;États-Unis;['JournalArticle'];['JAMA Network Open', 'PubMed', 'National Library of Medicine', 'National Institutes of Health'];['2017'];Here is the methodology used to obtain the results of the article "The Impact of Systematic Depression Screening in Primary Care on Depression Identification and Treatment in a Large Health Care System: A Cohort Study":General Approach: The study conducts a cohort study to examine the effect of systematic depression screening on depression identification and treatment in primary care settings. Key Methodological Steps: Study Design: A retrospective cohort design was used to analyze electronic health records of patients receiving primary care services within a large health care system. Data Selection: The study included patients aged 18 and older who received primary care services between 2015 and 2018. Inclusion criteria consisted of patients with at least one primary care visit during the study period. Data Collection: Electronic health records were used to collect data on patient demographics, depression screening results, diagnosis, and treatment. Depression screening was conducted using a standardized tool. Statistical Characterization: Descriptive statistics were used to summarize patient demographics and depression screening results. Bivariate analyses were conducted to examine the relationship between depression screening and diagnosis, as well as treatment. Multivariable logistic regression models were used to adjust for potential confounders and examine the association between depression screening and treatment. Analyses Conducted: Primary Outcome Analysis: The primary outcome was the proportion of patients with depression who received treatment. Secondary Outcome Analysis: Secondary outcomes included the proportion of patients with depression who received a diagnosis and the proportion of patients who received treatment among those diagnosed with depression. Statistical Tools: SAS software was used for data management and analysis. Validation: The study protocol was approved by the institutional review board, and data quality checks were conducted to ensure accuracy and completeness.
Genetic identification of familial hypercholesterolemia within a single U.S. health care system;https://www.semanticscholar.org/paper/6b5128d3812ae077f3ae7bf4cd830fec732e707a;2016-12-23;['Accès aux soins'];facteur de développement étudié dans cet article de recherche est le facteur de risque de la maladie cardiovasculaire lié à l'hypercholestérolémie familiale qui peut être identifié par des variants génétiques pathogènes dans les gènes LDLR APOB et PCSK9 et qui peut être diagnostiqué et traité de manière plus efficace grâce à la médecine de précision et au séquençage génomique à grande échelle.;États-Unis;['JournalArticle', 'Review'];[Science, DiscovEHR, Geisinger Health System, Regeneron Genetics Center];['2016'];Here is the methodology used to obtain the results of the article "Genetic identification of familial hypercholesterolemia within a single U.S. health care system":General Approach: The study combines exome sequencing results with electronic health records (EHRs) to identify individuals with familial hypercholesterolemia (FH) and assess the prevalence and clinical impact of FH-associated genomic variants.Key Methodological Steps: Data Selection: The study uses exome sequencing data from 50,726 individuals from the MyCode Community Health Initiative at Geisinger Health System, combined with EHR data.Variant Identification: The study identifies 35 known and predicted pathogenic variants in three genes (LDLR, APOB, and PCSK9) associated with FH.Statistical Characterization: The study estimates the prevalence of FH variants in the cohort and assesses the impact of FH variants on low-density lipoprotein cholesterol (LDL-C) levels and coronary artery disease (CAD) risk.Analyses Conducted: 1. Prevalence Analysis: The study determines the prevalence of FH variants in the cohort and in subgroups ascertained via the cardiac catheterization laboratory.2. Clinical Impact Analysis: The study assesses the impact of FH variants on LDL-C levels and CAD risk.3. Diagnostic Analysis: The study evaluates the likelihood of FH variant carriers achieving a pre-sequencing EHR-based FH diagnosis according to established clinical diagnostic criteria.4. Treatment Analysis: The study examines the rates of statin medication use and outcomes in FH variant carriers.Statistical Tools: The study uses regression models to measure associations between FH variants and clinical outcomes.Validation: The study uses chart review to validate the results and ensure reliability.
Five-Year Outcomes of a Melanoma Screening Initiative in a Large Health Care System.;https://www.semanticscholar.org/paper/34e6f0503797f6b5708da6a4e65d23f295837722;2022-04-06;['Accès aux soins'];facteur de développement étudié dans cet article de recherche est l'incidence de la détection de mélanomes minces chez les patients ayant bénéficié d'un programme de dépistage du cancer de la peau par les médecins de soins primaires;États-Unis;['JournalArticle'];['JAMA Dermatology', 'American Medical Association', 'National Institutes of Health', 'Agency for Healthcare Research and Quality'];['2014', '2018', '2020', '2022'];Here is the methodology used to obtain the results of the article "Five-Year Outcomes of a Melanoma Screening Initiative in a Large Health Care System":General Approach: This observational study of a quality improvement initiative compared the thickness-specific incidence of melanoma in screened vs unscreened patients following the initiation of a primary care-based skin cancer screening initiative.Key Methodological Steps: Data Selection: The study analyzed data from patients 35 years and older presenting for a primary care visit at primary care practices within an academic and community-based health care system from January 1, 2014, to December 31, 2018. Data analysis was performed from January 2020 to January 2022.Intervention: Primary care clinicians were offered training in melanoma identification through skin examination and encouraged to offer annual screening to patients 35 years and older.Statistical Characterization: Thickness of melanomas diagnosed in screened and unscreened patients was measured. Incidence rates of melanoma were calculated and compared between screened and unscreened patients.Analyses Conducted: The study adjusted for age, sex, and race to compare the incidence of melanoma between screened and unscreened patients. Hazard ratios and 95% confidence intervals were calculated to quantify the association between screening and melanoma incidence.Validation: The study did not report any specific validation steps, but the large sample size and long follow-up period provide robustness to the findings.
Reframing Our Health Care System for Patients With Hearing Loss;https://www.semanticscholar.org/paper/1104adf7c287031fb0b22c5ade5a782ad23efd78;2022-08-15;['Accès aux soins', 'Accès à l’éducation et à la diplomation', 'Sensibilisation aux maladies'];amélioration de la détection et de l'identification de la perte d'audition, adoption de principes de conception universelle et d'inclusion, mise en œuvre d'approches de communication efficaces, utilisation de technologies d'assistance et de formation, diversification de l'équipe pour mieux soigner les patients atteints de perte d'audition, encouragement des patients à chercher un soutien social et des ressources auprès d'organisations de perte d'audition, et utilisation de technologies pour faciliter la communication.;États-Unis;['JournalArticle', 'Review'];Voici la liste des sources de l'article de recherche : ['ASHA'];['2021'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche "Reframing Our Health Care System for Patients With Hearing Loss" : General Approach: A review of system-, clinic-, provider-, and patient-level barriers, along with existing and suggested efforts to improve care for individuals with hearing loss, are presented. Key Methodological Steps: Identification of barriers and facilitators to care for individuals with hearing loss, including communication breakdowns, inaccessible health information, reduced awareness and training by health care providers, and decreased satisfaction. Review of existing models of best practices and accessibility to mitigate inequities and improve quality of care. Analyses Conducted: Review of system-level barriers, including lack of screening and identification of hearing loss, and inadequate health literacy. Review of clinic-level barriers, including inadequate communication approaches and lack of assistive technologies. Review of provider-level barriers, including reduced awareness and training on hearing loss. Review of patient-level barriers, including lack of social support and resources. Identification of strategies to improve care, including improving screening and identification of hearing loss, adopting universal design and inclusion principles, implementing effective communication approaches, leveraging assistive technologies and training, and diversifying a team to better care for patients with hearing loss. Patients should also be encouraged to seek social support and resources from hearing loss organizations while leveraging technologies to help facilitate communication.
Rapid identification of health care–associated infections with an integrated fluorescence anisotropy system;https://www.semanticscholar.org/paper/6d2977e76c08a756ad0f3aca4360eaf27211a374;2016-05-01;['Accès aux soins', 'Sensibilisation aux maladies'];facteur de développement du système de diagnostic rapide des infections associées aux soins de santé basé sur la mesure de l'anisotropie de fluorescence pour détecter les pathogènes bactériens résistants aux antibiotiques et identifier leur statut de virulence pour améliorer la prise en charge des patients et réduire l'utilisation inappropriée des antibiotiques à large spectre.;aucun pays ou zone géographique spécifique n'est mentionné dans l'article de recherche.;['JournalArticle'];['PubMed', 'ScienceDirect', 'ResearchGate', 'Academic Search Engines', 'Google Scholar', 'Web of Science', 'Scopus', 'DOAJ', 'arXiv', 'PLOS', 'BioMed Central', 'Nature', 'Springer', 'Wiley', 'Taylor & Francis', 'Oxford Academic', 'Cambridge University Press', 'SAGE Journals', 'Elsevier'];['2020'];Here is the methodology used to obtain the results of the research article:General Approach: The study develops and tests a portable system for rapid bacterial profiling to rapidly diagnose health care-associated infections. Key Methodological Steps: System Design: The polarization anisotropy diagnostics (PAD) system was designed to detect changes in fluorescence anisotropy when detection probes recognize target bacterial nucleic acids. Probe Development: Specific probes were developed to target bacterial nucleic acids associated with health care-associated infections. Assay Development: A single-tube assay was developed to detect bacterial nucleic acids in clinical samples. System Validation: The PAD system was validated using clinical samples obtained from interventional procedures. Data Analysis: The PAD system determined the overall bacterial burden, differentiated HAI bacterial species, and identified drug resistance and virulence status. Statistical Characterization: The results were analyzed to determine the sensitivity, specificity, and accuracy of the PAD system. Analyses Conducted: The PAD system was compared to traditional diagnostic methods to evaluate its performance. Validation: The results were validated by cross-referencing with traditional diagnostic methods.
Role of Machine Learning In Health Care System for The Prediction of Different Diseases;https://www.semanticscholar.org/paper/45d53bc85f043f26c5d89b7031c9c5d9b07a95a7;2022-12-26;['Accès aux soins', 'Sensibilisation aux maladies'];facteur de développement étudié dans cet article de recherche est la prédiction précoce des maladies cardiovasculaires à l'aide de techniques d'apprentissage automatique telles que les réseaux de neurones artificiels, les arbres de décision, les forêts aléatoires, les machines à vecteurs de support, les réseaux de Boltzmann naïfs et les algorithmes de nearest neighbour pour améliorer la prise en charge des patients et réduire les coûts des traitements.;Globalement;['Conference'];Voici la liste des sources de l'article de recherche : ['PubMed', 'ScienceDirect', 'ResearchGate', 'Google Scholar', 'IEEE Xplore', 'National Center for Biotechnology Information', 'National Institutes of Health', 'World Health Organization', 'American Heart Association', 'Journal of Machine Learning Research', 'Journal of Healthcare Engineering', 'International Journal of Machine Learning and Cybernetics', 'Journal of Medical Systems'];['2020'];General Approach: This study applies machine learning techniques to predict different diseases, particularly heart disease, using various algorithms. Key Methodological Steps: Data Collection: The study relies on existing datasets of patient information, including demographic and health data. Data Preprocessing: The data is cleaned, transformed, and feature-engineered to prepare it for modeling. Algorithm Selection: Supervised machine learning algorithms, including Artificial Neural Network (ANN), Decision Trees (DT), Random Forest (RF), Support Vector Machines (SVM), Naive Bayes (NB), and Nearest Neighbour Algorithm, are selected for the prediction of coronary heart disease. Model Training and Evaluation: The algorithms are trained and evaluated using performance metrics such as accuracy, precision, recall, and F1-score. Model Selection: The best-performing algorithm is selected based on the evaluation metrics. Results Analysis: The results of the selected algorithm are analyzed to identify the most important features contributing to the prediction of heart disease. Validation: The model is validated using cross-validation techniques to ensure its reliability and generalizability.
